,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,date,checked_date,rock viet,vinahouse,viet edm,mainland se asia metal,vietnamese bolero,indie viet,vietnamese trap,vietnamese hip hop,viet remix,viet lo-fi,viet instrumental,year,v_pop,v_rap
23,spotify:track:07tiPBhMqiKqHowwqDBtfK,id T41104 (feat. 267),W/N,56,"['indie viet', 'v-pop']",id T41104 (feat. 267),52,0.689,0.349,5,-7.609,1,0.0306,0.872,1.05e-05,0.0665,0.577,132.075,07tiPBhMqiKqHowwqDBtfK,200000,3,2023-10-31,2023-10-31,0,0,0,0,0,1,0,0,0,0,0,2023,1.0,0.0
24,spotify:track:7bFFUPBiF15n8m8RziqS4o,dự báo thời tiết hôm nay mưa,GREY D,58,['v-pop'],dự báo thời tiết hôm nay mưa – Maxi Single,65,0.581,0.558,5,-10.404,1,0.0432,0.627,0.00022,0.102,0.271,76.992,7bFFUPBiF15n8m8RziqS4o,281494,4,2022-11-22,2022-11-22,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
25,spotify:track:45Mswno1F7FoZkcmQkp7fi,Thích Em Hơi Nhiều,Wren Evans,54,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Thích Em Hơi Nhiều,65,0.92,0.41,11,-9.497,1,0.455,0.372,0.000595,0.126,0.861,143.034,45Mswno1F7FoZkcmQkp7fi,171741,4,2021-06-18,2021-06-18,0,0,0,0,0,0,0,1,0,0,0,2021,1.0,1.0
26,spotify:track:3YctJXK6kznnWl68TnYobN,Anh Đã Ổn Hơn,RPT MCK,61,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",99%,68,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3YctJXK6kznnWl68TnYobN,194006,3,2023-03-02,2023-03-02,0,0,0,0,0,0,1,1,0,0,0,2023,1.0,1.0
27,spotify:track:4jWmhzf53Q0ZvZMuGdiR9x,shhhhhhh..,WEAN,48,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",shhhhhhh..,66,0.739,0.537,2,-7.241,0,0.0394,0.251,0.0,0.0998,0.379,137.97,4jWmhzf53Q0ZvZMuGdiR9x,230676,4,2023-10-07,2023-10-07,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
28,spotify:track:7wj9sGlHGTMQ28liyi48hz,nếu lúc đó,tlinh,62,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",nếu lúc đó,67,0.632,0.615,4,-8.203,1,0.0321,0.332,0.000186,0.155,0.348,140.075,7wj9sGlHGTMQ28liyi48hz,264000,4,2023-03-02,2023-03-02,0,0,0,0,0,1,0,1,0,0,0,2023,1.0,1.0
29,spotify:track:4M3s2pObhdGGipU9akgGNa,Giữa Đại Lộ Đông Tây,Uyên Linh,37,['v-pop'],Giữa Đại Lộ Đông Tây,57,0.642,0.561,11,-5.458,0,0.033,0.542,0.00058,0.315,0.403,89.933,4M3s2pObhdGGipU9akgGNa,226667,4,2021-11-04,2021-11-04,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
30,spotify:track:76dD9BdSOzsRJSGGBjOcUf,ngủ một mình (tình rất tình),HIEUTHUHAI,58,"['v-pop', 'vietnamese hip hop']",ngủ một mình (tình rất tình),64,0.783,0.476,0,-8.096,0,0.0293,0.181,0.0,0.0892,0.533,100.017,76dD9BdSOzsRJSGGBjOcUf,192000,4,2022-12-15,2022-12-15,0,0,0,0,0,0,0,1,0,0,0,2022,1.0,0.0
31,spotify:track:1fh5Sf3fFESFOS8D82RQiI,từ thích thích thành thương thương,AMEE,55,"['v-pop', 'vietnamese idol pop']",dreAMEE (acoustic),59,0.637,0.31,8,-11.232,1,0.0362,0.755,3.22e-06,0.0925,0.374,104.07,1fh5Sf3fFESFOS8D82RQiI,204231,4,2020-12-15,2020-12-15,0,0,0,0,0,0,0,0,0,0,0,2020,1.0,0.0
32,spotify:track:1RGA13K66cABN7nYek6WNk,Không Còn Em,Madihu,52,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Không Còn Em,63,0.669,0.376,10,-7.532,1,0.219,0.846,2.6e-05,0.158,0.566,74.973,1RGA13K66cABN7nYek6WNk,234792,4,2023-07-20,2023-07-20,0,0,0,0,0,1,0,0,0,0,0,2023,1.0,1.0
33,spotify:track:2WOpp4vm16unl0N3i3BNNv,Tình Đắng Như Ly Cà Phê,NÂN,41,"['indie viet', 'v-pop']",Tình Đắng Như Ly Cà Phê,62,0.754,0.0774,1,-20.617,1,0.0578,0.923,0.0,0.0802,0.701,116.071,2WOpp4vm16unl0N3i3BNNv,215172,4,2018-04-01,2018-04-01,0,0,0,0,0,1,0,0,0,0,0,2018,1.0,0.0
34,spotify:track:4qJSUFwZFouto5VZUlln75,Thích Quá Rùi Nà,tlinh,62,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Thích Quá Rùi Nà,64,0.766,0.511,7,-7.47,1,0.0842,0.536,0.0,0.111,0.609,104.944,4qJSUFwZFouto5VZUlln75,178000,4,2023-07-14,2023-07-14,0,0,0,0,0,1,0,1,0,0,0,2023,1.0,1.0
35,spotify:track:6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,Madihu,52,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Vì Anh Đâu Có Biết,68,0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982,6VXVYATpQXEIoZ97NnWCmn,241920,4,2022-08-04,2022-08-04,0,0,0,0,0,1,0,0,0,0,0,2022,1.0,1.0
36,spotify:track:3wn8HJNjkY4wzTBy35ZvQ6,bao tiền một mớ bình yên?,14 Casper,41,"['v-pop', 'viet lo-fi']",bao tiền một mớ bình yên?,59,0.429,0.364,7,-10.006,1,0.0547,0.455,0.0,0.0907,0.0857,173.63,3wn8HJNjkY4wzTBy35ZvQ6,300000,3,2020-01-01,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,2020,1.0,0.0
37,spotify:track:2qWP5ZarXRsdmxzz3L3BtP,có hẹn với thanh xuân,Suni Hạ Linh,51,['v-pop'],Hương Mùa Hè,62,0.421,0.568,5,-5.462,1,0.0588,0.758,0.00016,0.257,0.384,200.049,2qWP5ZarXRsdmxzz3L3BtP,222000,4,2022-07-24,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
38,spotify:track:1xoadYaxtOp9gHDwgmPDuz,Sài Gòn Hôm Nay Mưa,JSOL,44,['v-pop'],Sài Gòn Hôm Nay Mưa,66,0.624,0.604,2,-5.438,1,0.0619,0.784,0.00869,0.108,0.354,136.077,1xoadYaxtOp9gHDwgmPDuz,247059,4,2021-05-29,2021-05-29,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
39,spotify:track:6Lzlbce8Eg1dPg91VSx6kk,tình yêu có nghĩa là gì?,tlinh,62,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",tình yêu có nghĩa là gì?,60,0.443,0.371,5,-12.08,0,0.0377,0.864,0.78,0.421,0.189,92.468,6Lzlbce8Eg1dPg91VSx6kk,133562,4,2023-08-11,2023-08-11,0,0,0,0,0,1,0,1,0,0,0,2023,1.0,1.0
40,spotify:track:4AgFXIVT7hVhBZ5DEOaLu3,tiny love,Thịnh Suy,52,"['v-pop', 'vietnamese singer-songwriter']",tiny things,63,0.824,0.171,4,-15.871,0,0.0527,0.857,0.0,0.107,0.693,100.036,4AgFXIVT7hVhBZ5DEOaLu3,158400,4,2021-12-05,2021-12-05,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
41,spotify:track:4X2vrRE8Pi5hBMbWRjofAU,NOLOVENOLIFE,HIEUTHUHAI,58,"['v-pop', 'vietnamese hip hop']",Ai Cũng Phải Bắt Đầu Từ Đâu Đó,63,0.812,0.704,4,-4.499,1,0.148,0.352,0.0,0.104,0.554,138.013,4X2vrRE8Pi5hBMbWRjofAU,170898,4,2023-10-16,2023-10-16,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,0.0
42,spotify:track:4CUvVaAYuXtvYURLFz7EIL,Chuyện Đôi Ta (feat. Muộii),Emcee L (Da LAB),49,"['v-pop', 'vietnamese hip hop']",Chuyện Đôi Ta (feat. Muộii),68,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,4CUvVaAYuXtvYURLFz7EIL,208049,3,2021-12-01,2021-12-01,0,0,0,0,0,0,0,1,0,0,0,2021,1.0,0.0
43,spotify:track:0gzpqwLf1jhNjnSJEyweAX,Tình cờ yêu em,Kuun Đức Nam,44,['viet chill rap'],Tình cờ yêu em,67,0.75,0.349,0,-9.389,1,0.051,0.305,0.0,0.295,0.481,82.002,0gzpqwLf1jhNjnSJEyweAX,258472,3,2023-06-10,2023-06-10,0,0,0,0,0,0,0,0,0,0,0,2023,0.0,1.0
44,spotify:track:3a2Oftcs10wtzw6AmxuTMU,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,O.lew,43,['v-pop'],Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,65,0.638,0.106,3,-15.103,1,0.0424,0.955,1.1e-06,0.237,0.221,123.592,3a2Oftcs10wtzw6AmxuTMU,278732,4,2023-01-02,2023-01-02,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
45,spotify:track:0zCGKGZB5aySnQQSHWRGIT,có hẹn với thanh xuân,MONSTAR,46,['v-pop'],có hẹn với thanh xuân,57,0.613,0.5,10,-8.349,1,0.0277,0.547,0.000181,0.327,0.342,99.998,0zCGKGZB5aySnQQSHWRGIT,218027,4,2021-07-18,2021-07-18,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
46,spotify:track:7oBUoEbCDF748UkHnLusUB,Chuyện Rằng,Thịnh Suy,52,"['v-pop', 'vietnamese singer-songwriter']",Chuyện Rằng,61,0.811,0.276,7,-14.892,1,0.042,0.785,2.83e-06,0.128,0.704,95.021,7oBUoEbCDF748UkHnLusUB,272152,4,2020-08-08,2020-08-08,0,0,0,0,0,0,0,0,0,0,0,2020,1.0,0.0
47,spotify:track:5BTzf3doGTigDIYUFtbkI9,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Emcee L (Da LAB),49,"['v-pop', 'vietnamese hip hop']",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),64,0.494,0.395,6,-8.653,1,0.0301,0.887,1.43e-05,0.058,0.179,141.464,5BTzf3doGTigDIYUFtbkI9,234168,4,2020-12-29,2020-12-29,0,0,0,0,0,0,0,1,0,0,0,2020,1.0,0.0
48,spotify:track:1EmMFSLRVkOszCa4ul9z0F,3107 3,W/N,56,"['indie viet', 'v-pop']","3107 3 (feat. Nâu, titie, Dươngg)",65,0.663,0.344,0,-14.025,1,0.0495,0.922,0.00298,0.0916,0.469,135.904,1EmMFSLRVkOszCa4ul9z0F,240000,4,2021-07-31,2021-07-31,0,0,0,0,0,1,0,0,0,0,0,2021,1.0,0.0
49,spotify:track:3rx7g2qRxKscgtQUiKwQvN,ThichThich,Phương Ly,54,['v-pop'],ThichThich,61,0.901,0.471,0,-7.223,1,0.0691,0.578,0.0,0.0956,0.617,124.093,3rx7g2qRxKscgtQUiKwQvN,241935,4,2022-07-24,2022-07-24,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
50,spotify:track:08GUMwJRpisuxHGyRzoSuu,Call Me,Wren Evans,54,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Call Me,64,0.808,0.541,9,-11.864,0,0.0654,0.0992,0.00351,0.0939,0.38,114.007,08GUMwJRpisuxHGyRzoSuu,214737,4,2023-08-15,2023-08-15,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
51,spotify:track:1TwRo03GTMwKviM9KFTGpK,Sunset In The City,SOOBIN,48,['v-pop'],Sunset In The City,50,0.721,0.485,2,-8.729,1,0.0357,0.109,4.6e-06,0.159,0.463,100.023,1TwRo03GTMwKviM9KFTGpK,224100,4,2023-10-26,2023-10-26,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
52,spotify:track:2doGmsaPLdot51o80juiYU,Đánh Đổi (ft. RPT MCK),Obito,58,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đánh Đổi,68,0.645,0.566,2,-12.294,1,0.14,0.237,4.73e-06,0.418,0.556,76.876,2doGmsaPLdot51o80juiYU,226994,4,2023-10-10,2023-10-10,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
53,spotify:track:37od1g713ZvI32VA2diR9L,Có đau thì đau một mình,Orange,52,['v-pop'],Có đau thì đau một mình,59,0.668,0.659,1,-5.22,0,0.0317,0.444,1.23e-05,0.662,0.546,130.105,37od1g713ZvI32VA2diR9L,210534,4,2023-09-15,2023-09-15,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
54,spotify:track:5K2VTtm9skwbbVP54E0I4E,Rolling Down (feat. CAPTAIN),RAP VIỆT,61,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Rap Việt Mùa 3 (2023) - Tập 13,60,0.709,0.605,10,-6.931,1,0.0521,0.45,0.0,0.152,0.369,130.018,5K2VTtm9skwbbVP54E0I4E,214155,4,2023-08-20,2023-08-20,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
55,spotify:track:5HuDnBhNLj5m865LowtgZQ,kho báu đánh rơi (feat. GREY D),tlinh,62,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",ái,60,0.728,0.533,0,-7.897,1,0.0843,0.203,5.12e-06,0.571,0.502,101.985,5HuDnBhNLj5m865LowtgZQ,200203,4,2023-08-16,2023-08-16,0,0,0,0,0,1,0,1,0,0,0,2023,1.0,1.0
56,spotify:track:4iuxuyXLlRzSqdwQYaxrO1,Say Em Đắm Yêu,Pham Dinh Thai Ngan,30,['v-pop'],Say Em Đắm Yêu,34,0.67,0.586,9,-5.725,1,0.0311,0.39,0.0,0.0812,0.535,95.02,4iuxuyXLlRzSqdwQYaxrO1,241263,4,2023-08-08,2023-08-08,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
57,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,id 072019,W/N,56,"['indie viet', 'v-pop']",id 072019,70,0.593,0.325,6,-11.214,1,0.0296,0.957,0.219,0.286,0.442,110.068,1o6cYDMHvKOfizi4d9Lqxr,271705,4,2023-07-31,2023-07-31,0,0,0,0,0,1,0,0,0,0,0,2023,1.0,0.0
58,spotify:track:54dJx0utw4joDGXoPzV9Rw,Mùa Hè Tuyệt Vời (Lalawonder),Đức Phúc,47,['v-pop'],Mùa Hè Tuyệt Vời (Lalawonder),49,0.834,0.74,10,-6.858,0,0.0411,0.494,0.00321,0.0985,0.707,115.991,54dJx0utw4joDGXoPzV9Rw,220345,4,2023-06-21,2023-06-21,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
59,spotify:track:1QKaj0g8pammcGn0JU8nnd,Sự Mập Mờ,Suni Hạ Linh,51,['v-pop'],Sự Mập Mờ,53,0.549,0.364,9,-11.438,1,0.0574,0.799,0.000836,0.129,0.128,129.923,1QKaj0g8pammcGn0JU8nnd,228940,4,2023-07-09,2023-07-09,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
60,spotify:track:194xS2oTIYL5u1IK0Q0oj0,Ngỏ Lời,Suni Hạ Linh,51,['v-pop'],Ngỏ Lời,57,0.566,0.6,9,-7.317,1,0.0361,0.158,0.00416,0.104,0.131,140.721,194xS2oTIYL5u1IK0Q0oj0,235745,4,2023-05-28,2023-05-28,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
61,spotify:track:7jbnA8sL3dpOYRrFrVURf0,Người Lạ Trong Danh Bạ (feat. Phuc Du),ERIK,50,['v-pop'],Người Lạ Trong Danh Bạ (feat. Phuc Du),45,0.77,0.552,8,-6.213,1,0.0447,0.511,0.00139,0.126,0.327,125.055,7jbnA8sL3dpOYRrFrVURf0,222720,4,2023-05-24,2023-05-24,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
62,spotify:track:23SUnSd024ACX7u1AUXsGc,Mưa Tháng Sáu,Văn Mai Hương,50,['v-pop'],Mưa Tháng Sáu,59,0.619,0.427,2,-7.142,0,0.0563,0.801,1.88e-06,0.368,0.284,139.757,23SUnSd024ACX7u1AUXsGc,257143,4,2023-05-24,2023-05-24,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
63,spotify:track:3Sx63dtDf3m5barUfoPjRJ,cô ấy của anh ấy,Bảo Anh,41,['v-pop'],không biết nên vui hay buồn,57,0.71,0.414,7,-10.644,0,0.0525,0.903,5.65e-05,0.134,0.161,118.06,3Sx63dtDf3m5barUfoPjRJ,274576,3,2023-05-21,2023-05-21,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
64,spotify:track:3I024mr4TcQb8W9cNVe0ze,Nắng Lên (feat. GONZO & Bwine),Rhymastic,48,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']","Space Jam, Vol. 1",52,0.532,0.553,8,-6.215,0,0.0648,0.501,0.0,0.0962,0.361,189.17,3I024mr4TcQb8W9cNVe0ze,203810,3,2023-05-08,2023-05-08,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
65,spotify:track:6HGOxrNik4iPurqStawTFQ,MAKING MY WAY,Sơn Tùng M-TP,55,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",MAKING MY WAY,59,0.612,0.712,9,-7.141,0,0.234,0.51,0.664,0.0834,0.235,199.975,6HGOxrNik4iPurqStawTFQ,256856,4,2023-05-05,2023-05-05,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,1.0
